Data;Tempo (us);Tempo (ms);Temperatura (°C)
22/12/2022 10:02:18;228601812;228601;23,0
22/12/2022 10:02:18;229101849;229101;23,0
22/12/2022 10:02:19;229601942;229601;23,0
22/12/2022 10:02:19;230101955;230101;23,0
22/12/2022 10:02:20;230602056;230602;23,0
22/12/2022 10:02:20;231102119;231102;23,0
22/12/2022 10:02:21;231602167;231602;23,0
22/12/2022 10:02:21;232102186;232102;23,0
22/12/2022 10:02:22;232602256;232602;23,0
22/12/2022 10:02:22;233102317;233102;23,0
22/12/2022 10:02:23;233602344;233602;23,0
22/12/2022 10:02:23;234102427;234102;23,0
22/12/2022 10:02:24;234602473;234602;23,0
22/12/2022 10:02:24;235102560;235102;23,0
22/12/2022 10:02:25;235602651;235602;23,0
22/12/2022 10:02:25;236102678;236102;23,0
22/12/2022 10:02:26;236602745;236602;23,0
22/12/2022 10:02:26;237102763;237102;23,0
22/12/2022 10:02:27;237602777;237602;23,0
22/12/2022 10:02:27;238102865;238102;23,0
22/12/2022 10:02:28;238602966;238602;23,0
22/12/2022 10:02:28;239103059;239103;23,0
22/12/2022 10:02:29;239603071;239603;23,0
22/12/2022 10:02:29;240103164;240103;23,0
22/12/2022 10:02:30;240603239;240603;23,0
22/12/2022 10:02:30;241103283;241103;23,0
22/12/2022 10:02:31;241603388;241603;23,0
22/12/2022 10:02:31;242103462;242103;23,0
22/12/2022 10:02:32;242603544;242603;23,0
22/12/2022 10:02:32;243103574;243103;23,0
22/12/2022 10:02:33;243603667;243603;23,0
22/12/2022 10:02:33;244103704;244103;23,0
22/12/2022 10:02:34;244603754;244603;23,0
22/12/2022 10:02:34;245103789;245103;23,0
22/12/2022 10:02:35;245603844;245603;23,0
22/12/2022 10:02:35;246103922;246103;23,0
22/12/2022 10:02:36;246603962;246603;23,0
22/12/2022 10:02:36;247103968;247103;23,0
22/12/2022 10:02:37;247604048;247604;23,0
22/12/2022 10:02:37;248104078;248104;23,0
22/12/2022 10:02:38;248604110;248604;23,0
22/12/2022 10:02:38;249104117;249104;23,0
22/12/2022 10:02:39;249604189;249604;23,0
22/12/2022 10:02:39;250104245;250104;23,0
22/12/2022 10:02:40;250604289;250604;23,0
22/12/2022 10:02:40;251104373;251104;23,0
22/12/2022 10:02:41;251604487;251604;23,0
22/12/2022 10:02:41;252104560;252104;23,0
22/12/2022 10:02:42;252604567;252604;23,0
22/12/2022 10:02:42;253104581;253104;23,0
22/12/2022 10:02:43;253604679;253604;23,0
22/12/2022 10:02:43;254104686;254104;23,0
22/12/2022 10:02:44;254604734;254604;23,0
22/12/2022 10:02:44;255104764;255104;23,0
22/12/2022 10:02:45;255604769;255604;23,0
